SampleDate,Result
9/19/12,0.23
9/19/12,0.075
9/19/12,0.47
10/4/12,0.015
10/4/12,0
10/4/12,0.013
10/11/12,0.91
10/11/12,0.31
12/13/12,0.31
12/13/12,0.37
2/8/13,0.082
2/8/13,0.24
5/14/13,0.21
5/14/13,0.074
7/10/13,0.16
7/10/13,0.12
7/31/13,0.12
7/31/13,1.3
9/12/13,0.017
9/12/13,0.017
9/12/13,0.32
9/12/13,0.24
9/12/13,0.21
9/12/13,0.24
9/12/13,0.21
9/18/13,0.017
9/18/13,0.017
11/21/13,0.74
11/21/13,1.4
11/21/13,0.42
11/21/13,0.19
11/21/13,0.74
11/21/13,0.42
11/21/13,0.33
11/21/13,0.19
11/21/13,0.31
11/21/13,0.26
11/21/13,0.98
12/7/13,0.33
12/7/13,0.29
12/8/13,0.5
12/8/13,0.5
2/28/14,2
2/28/14,0.29
2/28/14,0.21
2/28/14,0.26
2/28/14,0.29
2/28/14,0
2/28/14,0.21
2/28/14,0.34
2/28/14,0.24
2/28/14,0.27
2/28/14,0.32
6/2/14,0.75
6/2/14,0.75
6/2/14,0.85
6/2/14,0.85
6/3/14,0.17
6/3/14,0.17
6/4/14,0
6/4/14,0
6/5/14,0.94
7/23/14,0.024
7/23/14,0
7/23/14,1
9/23/14,0.33
9/25/14,0.43
11/1/14,0.31
11/1/14,0.51
11/1/14,0.38
11/1/14,0.26
11/1/14,0.27
11/1/14,0.29
11/1/14,0.64
11/1/14,0.12
12/2/14,0.77
12/2/14,0.5
12/2/14,0.97
12/2/14,0.5
12/2/14,0.86
12/2/14,0.62
12/2/14,0.96
12/2/14,0.61
12/11/14,0.065
12/12/14,0.39
12/12/14,0.77
12/12/14,0.33
12/12/14,1.1
12/12/14,0.93
12/12/14,0.29
12/12/14,0.4
12/12/14,0.41
1/8/15,0.13
1/26/15,0.76
1/26/15,0.36
2/12/15,0.045
2/23/15,0.31
5/6/15,0.076
5/6/15,0.14
5/14/15,0.039
5/14/15,0.019
6/9/15,0.13
6/9/15,0.45
6/17/15,0.12
6/18/15,0.12
6/18/15,0.27
8/11/15,0.14
8/13/15,1.2
8/26/15,0
9/21/15,0.68
9/21/15,0.74
9/21/15,0.3
10/4/15,0.48
10/4/15,0.49
10/4/15,1
10/13/15,0.19
10/13/15,0.096
10/13/15,0.39
12/8/15,0.029
12/8/15,0.028
12/22/15,0.62
12/22/15,0.54
12/22/15,1.6
12/22/15,0.43
12/22/15,1.2
1/5/16,0.53
1/5/16,0.43
1/5/16,0.25
1/5/16,0.76
1/5/16,0.32
1/5/16,0.89
1/5/16,1.1
1/5/16,0.59
1/5/16,0.56
1/5/16,0.48
1/19/16,0.056
1/19/16,0.38
1/21/16,0.048
1/21/16,0.3
1/21/16,0.084
3/7/16,0.63
3/7/16,0.62
3/7/16,0.63
3/7/16,0.46
3/7/16,0.5
3/7/16,0.59
3/23/16,0.4
3/24/16,0
3/24/16,0
3/24/16,0
3/24/16,0
3/24/16,3
3/24/16,0
3/24/16,3.6
4/19/16,6.2
6/15/16,0.18
6/21/16,0.097
6/21/16,1.1
6/21/16,0.29
8/2/16,0.41
8/4/16,0.2
8/16/16,0.12
8/17/16,0.064
8/18/16,0.93
8/24/16,0.15
8/31/16,1.7
8/31/16,0.22
9/7/16,2
9/7/16,0.35
9/7/16,0.16
9/9/16,0.037
9/9/16,0.049
9/9/16,0.72
9/9/16,0.032
9/13/16,0.2
9/13/16,0.23
9/13/16,1.8
9/19/16,0.16
9/19/16,0.17
